,Voucher Number,Voucher_Date,Credit,Invoice_number
0,ESS/RV210604,2021-06-02,6400.0,ESS/IVO200254
0,ESS/RV210296,2021-04-06,12800.0,ESS/IVO200255
0,ESS/RV210593,2021-04-14,3200.0,ESS/IVO200257
0,ESS/RV210593,2021-04-14,1575.0,ESS/IVO200258
0,ESS/RV210046,2021-01-21,15000.0,ESS/IVO200259
0,ESS/RV210098,2021-06-02,5424.46,ESS/IVO200260
0,ESS/RV210013,2021-02-10,1858.06,ESS/IVO200261
0,ESS/RV210295,2021-04-01,22050.0,ESS/IVO200262
0,ESS/RV210431,2021-06-16,564.52,ESS/IVO200263
0,ESS/RV210583,2021-03-11,17200.0,ESS/IVO200264
0,ESS/RV210583,2021-03-11,38300.0,ESS/IVO200265
0,ESS/RV210583,2021-03-11,14500.0,ESS/IVO200266
0,ESS/RV210583,2021-03-11,3400.0,ESS/IVO200267
0,ESS/RV210583,2021-03-11,5600.0,ESS/IVO200268
0,ESS/RV210583,2021-03-11,91700.0,ESS/IVO200269
0,ESS/RV210583,2021-03-11,32879.16,ESS/IVO200270
0,ESS/RV200109,2020-12-28,12125.0,ESS/INV0003
1,ESS/RV200082,2020-11-25,12125.0,ESS/INV0003
0,ESS/RV210082,2021-01-11,108345.16,ESS/IVO200218
1,ESS/CN200004,2020-12-31,500.0,ESS/IVO200218
0,ESS/RV210238,2021-06-13,4200.0,ESS/IVO200271
1,ESS/JV220579,2022-10-31,1800.0,ESS/IVO200271
0,ESS/RV210276,2021-02-18,9600.0,ESS/IVO200272
0,ESS/CN200003,2020-11-30,29553.33,ESS/IVO200273
1,ESS/RV210220,2021-03-16,38646.67,ESS/IVO200273
0,ESS/RV210094,2021-03-02,6400.0,ESS/IVO200274
0,ESS/RV210095,2021-05-24,6400.0,ESS/IVO200275
0,ESS/RV200110,2020-11-23,300.0,ESS/INV0005
0,ESS/RV210275,2021-02-21,24700.0,ESS/IVO200276
0,ESS/ALN200013,2020-11-24,9900.0,ESS/IVO200278
0,ESS/JV220579,2022-10-31,3096.64,ESS/IVO200279
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200280
0,ESS/ALN220076,2022-03-02,571.33,ESS/INV0007
0,ESS/ALN210077,2021-10-24,2349.5,ESS/INV0008
0,ESS/ALN210077,2021-10-24,783.16,ESS/INV0009
0,ESS/RV220369,2022-05-10,3555.0,ESS/INV0010
0,ESS/RV220369,2022-05-10,1185.0,ESS/INV0011
0,ESS/RV210591,2021-04-06,3416.5,ESS/INV0012
0,ESS/RV210591,2021-04-06,1138.84,ESS/INV0013
0,ESS/RV210576,2021-01-21,5150.0,ESS/INV0014
0,ESS/ALN210032,2021-04-04,15984.0,ESS/INV0034
0,ESS/ALN210032,2021-04-04,5328.0,ESS/INV0035
0,ESS/ALN210054,2021-04-14,4161.0,ESS/INV0036
0,ESS/ALN210054,2021-04-14,1387.0,ESS/INV0037
0,ESS/CN200005,2020-11-30,1677.0,ESS/INV0047
0,ESS/RV210505,2021-10-05,1503.0,ESS/INV0066
0,ESS/RV210505,2021-10-05,501.0,ESS/INV0067
0,ESS/JV200134,2020-12-31,790.0,ESS/INV0069
0,ESS/RV210480,2021-09-19,15600.0,ESS/IVO210093
0,ESS/RV210600,2021-05-27,6400.0,ESS/IVO210094
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210095
0,ESS/RV221004,2022-12-27,6400.0,ESS/IVO210097
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210098
0,ESS/RV210480,2021-09-19,12800.0,ESS/IVO210099
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210100
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210101
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210102
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210103
0,ESS/RV210607,2021-06-02,12800.0,ESS/IVO210104
0,ESS/RV210607,2021-06-02,15600.0,ESS/IVO210105
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210106
0,ESS/RV210607,2021-06-02,3200.0,ESS/IVO210107
0,ESS/RV210607,2021-06-02,7800.0,ESS/IVO210108
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210109
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210110
0,ESS/RV210607,2021-06-02,3200.0,ESS/IVO210111
0,ESS/RV210607,2021-06-02,3200.0,ESS/IVO210112
0,ESS/RV210607,2021-06-02,350.0,ESS/IVO210113
0,ESS/RV210586,2021-04-01,91700.0,ESS/IVO210114
0,ESS/RV210586,2021-04-01,66650.0,ESS/IVO210115
0,ESS/RV210586,2021-04-01,17200.0,ESS/IVO210116
0,ESS/RV210586,2021-04-01,38300.0,ESS/IVO210117
0,ESS/RV210583,2021-03-11,14500.0,ESS/IVO210118
0,ESS/RV210583,2021-03-11,3400.0,ESS/IVO210119
0,ESS/RV210612,2021-06-30,5600.0,ESS/IVO210120
0,ESS/RV220517,2022-05-31,6400.0,ESS/IVO210121
0,ESS/RV210613,2021-06-28,12800.0,ESS/IVO210122
0,ESS/RV210055,2021-01-31,2200.0,ESS/IVO210123
0,ESS/RV210298,2021-04-08,7800.0,ESS/IVO210124
0,ESS/RV210087,2021-03-30,6400.0,ESS/IVO210125
0,ESS/RV210087,2021-03-30,60200.0,ESS/IVO210126
0,ESS/RV210087,2021-03-30,20500.0,ESS/IVO210127
0,ESS/RV210087,2021-03-30,55100.0,ESS/IVO210128
0,ESS/RV210320,2021-05-03,12800.0,ESS/IVO210129
0,ESS/RV210109,2021-04-19,13550.0,ESS/IVO210130
0,ESS/RV210109,2021-04-19,9750.0,ESS/IVO210131
0,ESS/RV210109,2021-04-19,3250.0,ESS/IVO210132
0,ESS/RV210109,2021-04-19,13550.0,ESS/IVO210133
0,ESS/RV210109,2021-04-19,10300.0,ESS/IVO210134
0,ESS/RV210109,2021-04-19,9850.0,ESS/IVO210135
0,ESS/RV210109,2021-04-19,10300.0,ESS/IVO210136
0,ESS/RV210109,2021-04-19,3250.0,ESS/IVO210137
0,ESS/RV210109,2021-04-19,10300.0,ESS/IVO210138
0,ESS/RV210109,2021-04-19,6600.0,ESS/IVO210139
0,ESS/RV210109,2021-04-19,6500.0,ESS/IVO210140
0,ESS/RV210608,2021-06-06,3200.0,ESS/IVO210141
0,ESS/RV210608,2021-06-06,1750.0,ESS/IVO210142
0,ESS/RV210604,2021-06-02,6400.0,ESS/IVO210143
0,ESS/RV210061,2021-02-10,109700.0,ESS/IVO210144
1,ESS/CN210002,2021-01-31,500.0,ESS/IVO210144
0,ESS/RV210242,2021-03-23,9600.0,ESS/IVO210145
1,ESS/RV210246,2021-05-20,3200.0,ESS/IVO210145
0,ESS/RV210017,2021-02-22,9200.0,ESS/IVO210146
0,ESS/RV210430,2021-06-15,32600.0,ESS/IVO210147
0,ESS/RV210592,2021-04-08,25600.0,ESS/IVO210148
0,ESS/RV210631,2021-12-31,6400.0,ESS/IVO210150
0,ESS/RV210265,2021-03-29,3100.0,ESS/IVO210151
0,ESS/RV210208,2021-04-05,2975.0,ESS/IVO210152
0,ESS/RV210329,2021-05-06,16800.0,ESS/IVO210153
0,ESS/RV210590,2021-04-08,12800.0,ESS/IVO210154
0,ESS/RV210590,2021-04-08,12800.0,ESS/IVO210155
0,ESS/RV210009,2021-02-14,6000.0,ESS/IVO210156
0,ESS/RV210118,2021-03-11,6000.0,ESS/IVO210157
0,ESS/RV210097,2021-05-20,9000.0,ESS/IVO210158
0,ESS/RV210101,2021-08-17,11400.0,ESS/IVO210159
1,ESS/CN210003,2021-03-31,600.0,ESS/IVO210159
0,ESS/RV210236,2021-04-01,5500.0,ESS/IVO210160
0,ESS/RV210018,2021-02-18,25600.0,ESS/IVO210161
0,ESS/RV210012,2021-02-22,10200.0,ESS/IVO210162
0,ESS/RV210277,2021-03-02,23400.0,ESS/IVO210163
0,ESS/RV210436,2021-06-17,17800.0,ESS/IVO210164
0,ESS/RV210015,2021-02-18,16500.0,ESS/IVO210165
0,ESS/RV210014,2021-02-22,12800.0,ESS/IVO210166
0,ESS/RV210131,2021-03-09,15000.0,ESS/IVO210167
0,ESS/RV220311,2022-09-25,6400.0,ESS/IVO210168
0,ESS/RV210142,2021-05-09,9300.0,ESS/IVO210169
0,ESS/RV210316,2021-04-21,6000.0,ESS/IVO210170
0,ESS/RV210291,2021-03-23,55580.0,ESS/IVO210171
1,ESS/CN220032,2022-12-31,120.0,ESS/IVO210171
0,ESS/RV210064,2021-02-21,15000.0,ESS/IVO210172
0,ESS/RV210498,2021-10-05,2850.0,ESS/IVO210173
0,ESS/RV230286,2023-06-18,64568.0,ESS/IVO210175
1,ESS/RV230287,2023-08-08,21632.0,ESS/IVO210175
0,ESS/RV210318,2021-04-21,28453.24,ESS/IVO210176
0,ESS/RV210289,2021-03-23,6200.0,ESS/IVO210177
0,ESS/RV210351,2021-05-11,6200.0,ESS/IVO210178
0,ESS/RV210027,2021-01-08,250.0,ESS/IVO210180
0,ESS/RV210020,2021-02-24,18800.0,ESS/IVO210181
0,ESS/RV210010,2021-02-18,8625.0,ESS/IVO210174
0,ESS/RV210431,2021-06-16,10500.0,ESS/IVO210182
0,ESS/RV210013,2021-02-10,9600.0,ESS/IVO210183
0,ESS/RV210396,2021-06-13,564.52,ESS/IVO210185
1,ESS/RV210397,2021-06-13,564.52,ESS/IVO210185
2,ESS/RV210398,2021-06-13,564.46,ESS/IVO210185
0,ESS/RV210002,2021-02-10,2000.0,ESS/IVO210184
0,ESS/RV220517,2022-05-31,6400.0,ESS/IVO210187
0,ESS/RV210613,2021-06-28,12800.0,ESS/IVO210188
0,ESS/RV210480,2021-09-19,15600.0,ESS/IVO210189
0,ESS/RV210600,2021-05-27,6400.0,ESS/IVO210190
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210191
0,ESS/RV220502,2022-06-23,27200.0,ESS/IVO210192
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210193
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210194
0,ESS/RV210480,2021-09-19,12800.0,ESS/IVO210195
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210196
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210197
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210198
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210199
0,ESS/RV210607,2021-06-02,12800.0,ESS/IVO210200
0,ESS/RV210607,2021-06-02,15600.0,ESS/IVO210201
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210202
0,ESS/RV210607,2021-06-02,3200.0,ESS/IVO210203
0,ESS/RV210607,2021-06-02,7800.0,ESS/IVO210204
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210205
0,ESS/RV210607,2021-06-02,6400.0,ESS/IVO210206
0,ESS/RV210607,2021-06-02,3200.0,ESS/IVO210207
0,ESS/RV210607,2021-06-02,3200.0,ESS/IVO210208
0,ESS/RV210586,2021-04-01,17200.0,ESS/IVO210209
0,ESS/RV210586,2021-04-01,38300.0,ESS/IVO210210
0,ESS/RV210586,2021-04-01,14500.0,ESS/IVO210211
0,ESS/RV210586,2021-04-01,3400.0,ESS/IVO210212
0,ESS/RV210602,2021-06-01,91700.0,ESS/IVO210213
0,ESS/RV210602,2021-06-01,66650.0,ESS/IVO210214
0,ESS/RV210299,2021-04-08,7800.0,ESS/IVO210215
0,ESS/RV210088,2021-04-26,6400.0,ESS/IVO210216
0,ESS/RV210088,2021-04-26,60200.0,ESS/IVO210217
0,ESS/RV210088,2021-04-26,20500.0,ESS/IVO210218
0,ESS/RV210088,2021-04-26,55100.0,ESS/IVO210219
0,ESS/RV210321,2021-05-23,12800.0,ESS/IVO210220
0,ESS/RV210110,2021-04-19,13550.0,ESS/IVO210221
0,ESS/RV210110,2021-04-19,9750.0,ESS/IVO210222
0,ESS/RV210110,2021-04-19,3250.0,ESS/IVO210223
0,ESS/RV210110,2021-04-19,13550.0,ESS/IVO210224
0,ESS/RV210110,2021-04-19,10300.0,ESS/IVO210225
0,ESS/RV210110,2021-04-19,9850.0,ESS/IVO210226
0,ESS/RV210110,2021-04-19,10300.0,ESS/IVO210227
0,ESS/RV210110,2021-04-19,3250.0,ESS/IVO210228
0,ESS/RV210110,2021-04-19,10300.0,ESS/IVO210229
0,ESS/RV210110,2021-04-19,6600.0,ESS/IVO210230
0,ESS/RV210110,2021-04-19,6500.0,ESS/IVO210231
0,ESS/RV210608,2021-06-06,3200.0,ESS/IVO210232
0,ESS/RV210608,2021-06-06,1400.0,ESS/IVO210233
0,ESS/RV210608,2021-06-06,2625.0,ESS/IVO210234
0,ESS/RV210604,2021-06-02,6400.0,ESS/IVO210235
0,ESS/RV210243,2021-04-06,9600.0,ESS/IVO210237
1,ESS/RV210253,2021-12-14,3200.0,ESS/IVO210237
0,ESS/RV210344,2021-05-09,9200.0,ESS/IVO210238
0,ESS/RV210430,2021-06-15,32600.0,ESS/IVO210239
0,ESS/RV210597,2021-04-27,25600.0,ESS/IVO210240
0,ESS/RV210631,2021-12-31,6400.0,ESS/IVO210242
0,ESS/RV210266,2021-06-09,3100.0,ESS/IVO210243
0,ESS/RV210208,2021-04-05,5950.0,ESS/IVO210244
0,ESS/RV210368,2021-05-24,56064.3,ESS/IVO210245
0,ESS/RV210330,2021-06-09,16800.0,ESS/IVO210246
0,ESS/RV210307,2021-05-02,12800.0,ESS/IVO210247
0,ESS/RV210307,2021-05-02,12800.0,ESS/IVO210248
0,ESS/RV210119,2021-04-07,6000.0,ESS/IVO210249
0,ESS/RV210120,2021-04-15,6000.0,ESS/IVO210250
0,ESS/RV210100,2021-07-20,14700.0,ESS/IVO210251
1,ESS/CN210003,2021-03-31,500.0,ESS/IVO210251
0,ESS/CN210003,2021-03-31,600.0,ESS/IVO210252
1,ESS/RV210099,2021-07-04,11400.0,ESS/IVO210252
0,ESS/RV210235,2021-04-22,5500.0,ESS/IVO210253
0,ESS/RV210293,2021-03-30,25600.0,ESS/IVO210254
0,ESS/RV210311,2021-04-19,10200.0,ESS/IVO210255
0,ESS/RV210294,2021-04-01,23400.0,ESS/IVO210256
0,ESS/RV210506,2021-10-20,17800.0,ESS/IVO210257
0,ESS/RV210122,2021-03-16,16500.0,ESS/IVO210258
0,ESS/RV210297,2021-04-13,12800.0,ESS/IVO210259
0,ESS/RV210132,2021-03-31,15000.0,ESS/IVO210260
0,ESS/RV220312,2022-10-25,6400.0,ESS/IVO210261
0,ESS/RV210144,2021-05-09,9300.0,ESS/IVO210262
0,ESS/RV210316,2021-04-21,6000.0,ESS/IVO210263
0,ESS/RV210233,2021-04-27,15000.0,ESS/IVO210265
0,ESS/RV210550,2021-12-06,2850.0,ESS/IVO210266
0,ESS/RV210308,2021-04-13,8625.0,ESS/IVO210267
0,ESS/RV230287,2023-08-08,33975.0,ESS/IVO210268
0,ESS/RV210366,2021-05-20,28200.0,ESS/IVO210270
0,ESS/RV210290,2021-03-23,6200.0,ESS/IVO210271
0,ESS/RV210429,2021-06-07,8082.14,ESS/IVO210272
0,ESS/RV210317,2021-04-22,18800.0,ESS/IVO210277
0,ESS/RV210449,2021-07-26,10500.0,ESS/IVO210278
0,ESS/RV210584,2021-03-15,8914.29,ESS/IVO210279
1,ESS/CN210009,2021-02-28,685.71,ESS/IVO210279
0,ESS/RV210292,2021-03-27,9450.0,ESS/IVO210280
1,ESS/RV210063,2021-02-18,6750.0,ESS/IVO210280
0,ESS/RV210394,2021-06-02,8600.0,ESS/IVO210283
0,ESS/RV210611,2021-06-29,72000.0,ESS/IVA210005
0,ESS/RV210621,2021-09-02,17200.0,ESS/IVO210284
0,ESS/RV210600,2021-05-27,7200.0,ESS/IVO210285
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210286
1,ESS/CN220007,2022-06-20,800.0,ESS/IVO210286
0,ESS/RV210600,2021-05-27,25200.0,ESS/IVO210287
0,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210288
1,ESS/CN220007,2022-06-20,800.0,ESS/IVO210288
0,ESS/CN220007,2022-06-20,800.0,ESS/IVO210289
1,ESS/RV220489,2022-06-19,6400.0,ESS/IVO210289
0,ESS/RV210480,2021-09-19,14400.0,ESS/IVO210290
0,ESS/RV220517,2022-05-31,7200.0,ESS/IVO210291
0,ESS/RV210490,2021-10-03,11845.14,ESS/IVO210292
1,ESS/CN210005,2021-03-31,2554.86,ESS/IVO210292
0,ESS/RV210191,2021-05-24,6600.0,ESS/IVO210293
0,ESS/RV210192,2021-05-25,6600.0,ESS/IVO210294
0,ESS/RV210306,2021-05-23,11845.14,ESS/IVO210295
1,ESS/CN210004,2021-03-31,2554.86,ESS/IVO210295
0,ESS/CN210004,2021-03-31,2554.86,ESS/IVO210296
1,ESS/RV210306,2021-05-23,11845.14,ESS/IVO210296
0,ESS/RV210602,2021-06-01,19600.0,ESS/IVO210297
0,ESS/RV210100,2021-07-20,17150.0,ESS/IVO210298
0,ESS/RV210608,2021-06-06,5000.0,ESS/IVO210299
0,ESS/RV210367,2021-06-20,33000.0,ESS/IVO210300
