Customer,Settlement Duration(30K),Age Bracket(20K),GP Generated(35K),Established Since(5K),Worked Since(10K),Total(100K)
1020404012,28056.776500944732,19926.743760138143,14750.1110313073,4000.0,8000.0,74733.63129239017
1020201435,30000.0,20000.0,20706.109990555102,1000.0,2000.0,73706.1099905551
1020201118,30000.0,5000.0,34407.51340856895,2000.0,2000.0,73407.51340856895
1020201165,30000.0,5000.0,34293.52666126421,2000.0,2000.0,73293.52666126422
1020201251,30000.0,5000.0,34360.660113049234,1000.0,2000.0,72360.66011304923
1020201228,30000.0,5000.0,34031.362844219875,1000.0,2000.0,72031.36284421987
1020201262,30000.0,5000.0,33819.61857463716,1000.0,2000.0,71819.61857463716
1020404007,24719.000902395717,19216.90420380349,14709.7745925633,5000.0,8000.0,71645.67969876251
1020201404,30000.0,5000.0,33549.42628817574,1000.0,2000.0,71549.42628817575
1020201401,30000.0,5000.0,33280.534834692065,1000.0,2000.0,71280.53483469207
1020201449,30000.0,5000.0,33068.396403850675,1000.0,2000.0,71068.39640385067
1020201063,30000.0,5000.0,31292.613321444438,2000.0,2000.0,70292.61332144444
1020406003,28064.944437490944,19996.595023308768,8912.275194135202,5000.0,8000.0,69973.81465493492
1020201299,30000.0,5000.0,31740.728394429618,1000.0,2000.0,69740.72839442962
1020404009,23500.24708882898,20000.0,13964.251843620363,4000.0,8000.0,69464.49893244935
1020201049,28326.3956339626,19814.53556095313,8108.7517473964845,5000.0,8000.0,69249.68294231221
1020201240,28484.950873616282,19898.11678199303,11641.729973235242,5000.0,4000.0,69024.79762884455
1020201390,29730.15550360809,20000.0,15172.370884370619,2000.0,2000.0,68902.52638797871
1020405002,28119.36924360599,19953.56741546948,8739.793443456147,4000.0,8000.0,68812.73010253161
1020201256,30000.0,20000.0,13062.084789760675,1000.0,4000.0,68062.08478976067
1020201388,30000.0,20000.0,10031.699455929172,5000.0,2000.0,67031.69945592916
1020404001,27601.665066456273,18159.010083921214,7199.4089981966345,5000.0,8000.0,65960.08414857413
1020201069,30000.0,5000.0,26329.060830801485,2000.0,2000.0,65329.060830801485
1020201160,30000.0,5000.0,26279.877635629033,2000.0,2000.0,65279.87763562903
1020404010,27775.756458021613,15469.479675152925,9012.625675089444,5000.0,8000.0,65257.86180826398
1020201016,29631.727739469647,20000.0,5601.907778778555,2000.0,8000.0,65233.6355182482
1020201358,29187.9028996393,18892.447178213868,10037.868264414043,5000.0,2000.0,65118.21834226721
1020404004,29731.418382122592,17985.036645407992,3793.8505359982037,5000.0,8000.0,64510.30556352878
1020201275,25900.569081840727,20000.0,8903.94294599153,5000.0,4000.0,63804.51202783226
