,Job_Code,Interest,Investment,Gross Revenue,Net Revenue,Initial Profit,Current Profit,Customer_Code,Cus_Name
3619,NBLSI200100,0.0,0.0,14875.349999999999,13953.05,1748.362037241713,1748.362037241713,C00137,NBK AWLA HEAVY EQ
3620,NBLSI210106,0.0,0.0,6958.0,1320.0,559.6696553839322,559.6696553839322,CUS0012,NBK Medical Equipments
3621,NBNLSI223000,46.23,2779.948073182645,3415.0,1250.0,635.1794204042167,588.9494204042167,CUS0041,Nasser Bin Khaled Powered Sports
3622,NBNLAIFCT210555,0.0,0.0,876.0,876.0,-56.34036683832902,-56.34036683832902,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3623,NBNLSIFCT230910,56.88,8390.144800201506,9919.5,7773.0,1529.3551997984941,1472.475199798494,C00136,NBK & Sons Trading Co
3624,NBNLAIP210354,0.0,0.0,2783.6,1150.0,344.9054770376743,344.9054770376743,C00136,NBK & Sons Trading Co
3625,NBNLAIFCT210970,0.0,0.0,6509.9,5901.25,1082.6808548003078,1082.6808548003078,C00042,Brand Center
3626,NBNLMICC210115,0.0,0.0,36833.0,36833.0,26389.81370016894,26389.81370016894,C00164,Qatar Automobiles Company W.L.L.
3627,NBNLAIP231418,18.35,678.7985459068326,801.0,390.0,122.20145409316743,103.85145409316743,C00231,Nasser Bin Khaled Service Centers W.L.L
3628,NBNLSI244561,275.88,7769.358966614701,7851.45,200.0,82.0910333852991,-193.78896661470088,C00011,AL BASET TRADING AND TRANSPORTION CO
3629,NBNLSIFCT220671,0.0,0.0,15536.0,10235.0,-229.51587886429286,-229.51587886429286,CUS0381,UNITED SUPPLIES COMPANY W.L.L.
3630,NBNLAIP221198,5.89,484.50518776801937,545.0,100.0,62.14791036955737,56.25791036955737,CUS0445,ISS GLOBAL FORWARDING
3631,NBNLSI233081,6.67,542.3426826656475,600.0,100.0,57.75470386059883,51.08470386059883,C00225,NBK Heavy Equipment
3632,NBNLSIFCT230874,712.61,36363.671896137326,36049.1,19700.0,-314.5718961373291,-1027.1818961373292,C00174,SALAM STUDIO & STORES
3633,NBNLSI211515,0.0,0.0,9620.6,2325.0,5.365675729553004,5.365675729553004,C00182,Suncons Trading & Contracting WLL
3634,NBNLSI233259,19.75,2397.0891373781415,2735.0,975.0,338.2089210933913,318.4589210933913,CUS0310,SAUDIA HYPERMARKET
3635,NBNLAIFCT231537,81.07,3581.2819895444254,3396.9,2840.0,-184.38198954442532,-265.4519895444253,C00174,SALAM STUDIO & STORES
3636,NBNLSI245060,1.44,274.49307093647315,1160.0,1110.0,435.5572016820148,434.1172016820148,C00136,NBK & Sons Trading Co
3637,NBNLAIP210374,0.0,0.0,4645.3,1450.0,140.96647754569256,140.96647754569256,C00136,NBK & Sons Trading Co
3638,NBNLRRI231232,46.38,2671.0896815219357,3025.0,2500.0,353.9103184780645,307.5303184780645,C00164,Qatar Automobiles Company W.L.L.
3639,NBNLAIFCT210799,0.0,0.0,3961.75,3628.75,680.9260632141862,680.9260632141862,C00225,NBK Heavy Equipment
3640,NBNLSI234285,245.09,12833.397561470838,13153.0,925.0,319.6024385291624,74.51243852916238,CUS0319,AL Musse Trading & Contracting Services
3641,NBNLAIP241666,0.27,40.76295220573585,745.0,75.0,-35.681892126579264,-35.95189212657927,CUS0041,Nasser Bin Khaled Powered Sports
3642,NBNLSI233009,0.78,92.3426826656476,150.0,100.0,57.75470386059883,56.97470386059883,CUS0445,ISS GLOBAL FORWARDING
3643,NBLSI210577,0.0,0.0,8435.0,7940.0,1892.3477769700012,1892.3477769700012,C00164,Qatar Automobiles Company W.L.L.
3644,NBLAIFCT210189,0.0,0.0,2604.0,2604.0,1106.803782140902,1106.803782140902,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3645,NBNLSI221752,0.0,0.0,150.0,0.0,0.0,0.0,C00187,TMS
3646,NBNLSI244953,3.06,965.7512401294115,1340.0,1080.0,374.29903248907647,371.23903248907646,C00136,NBK & Sons Trading Co
3647,NBNLAIFCT221270,0.0,0.0,16231.11,14334.5,-760.759369558559,-760.759369558559,CUS0370,LIVING SPIRIT QATAR INTERIOR DESIGN STUDIO INTERIOR DESIGN & FURNISHING
